#                p[0],                 p[1],                 p[2],               energy,             variance,                error,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.0247716969848e+00,  1.1317248124649e+00,  1.1318614202377e+00, -1.6898958861503e-01,  3.8351768896967e-01,  8.7580555943620e-04,  6.7433113032412e-03, -4.3567242171438e-01, -1.0911207415190e-01, -3.1606707012962e+00, -1.2275120524678e-02, -3.4648705936195e+00,  1.4021813950000e+00,  9.0588600000000e-01,               500000
  2.0247264224128e+00,  1.1340158600906e+00,  1.1332745720204e+00, -1.7475797612004e-01,  3.3690980013042e-01,  8.2086515351844e-04,  7.0996570533795e-03, -3.8381591204436e-01,  1.1394298963936e-01, -2.7856122345509e+00,  1.1851760769672e-01, -2.6904384973486e+00,  1.4565480520000e+00,  9.0436600000000e-01,               500000
  2.0236288939220e+00,  1.1349798650692e+00,  1.1335627698035e+00, -1.6718414090588e-01,  3.4101286907355e-01,  8.2584849587991e-04,  1.2331143404994e-02, -3.6252566663743e-01,  1.4660203671698e-01, -2.6289503672040e+00,  6.3493935628955e-02, -2.6995604651732e+00,  1.4605035380000e+00,  9.0416600000000e-01,               500000
  2.0207802086566e+00,  1.1344256722389e+00,  1.1332989926429e+00, -1.7290529058782e-01,  3.5664230065577e-01,  8.4456178063629e-04,  1.8584086948897e-02, -3.9163126876405e-01,  1.7546880953076e-01, -2.5648511198011e+00,  5.6396730687709e-02, -3.3250008113526e+00,  1.4488613590000e+00,  9.0561600000000e-01,               500000
  2.0154037388869e+00,  1.1322189481332e+00,  1.1325992285006e+00, -1.7665234369282e-01,  3.2204169120876e-01,  8.0254805614214e-04, -1.9212971350886e-04, -3.5330769234446e-01,  4.7769217766070e-02, -2.0750008368447e+00,  2.9231881124068e-02, -2.6118705305820e+00,  1.4786438550000e+00,  9.0561000000000e-01,               500000
  2.0106128706806e+00,  1.1297706152569e+00,  1.1317322242705e+00, -1.7186995366012e-01,  3.7481109711174e-01,  8.6580725004096e-04, -1.5792093322454e-02, -4.1661734027867e-01, -1.9524789330645e-01, -2.9564025672357e+00, -1.3165232546611e-02, -3.2271098536155e+00,  1.4724226610000e+00,  9.0011400000000e-01,               500000
  2.0087537740960e+00,  1.1294986523105e+00,  1.1310757161113e+00, -1.6466796447014e-01,  3.8295695728211e-01,  8.7516507846475e-04, -2.4753413764472e-02, -4.7771232861481e-01, -2.1112106078974e-01, -3.1524165041982e+00, -1.6281913699261e-01, -3.0621111886433e+00,  1.4704003400000e+00,  9.0388400000000e-01,               500000
  2.0109069644379e+00,  1.1313449082253e+00,  1.1318778400998e+00, -1.6535166166115e-01,  4.0917878523160e-01,  9.0463117924556e-04, -2.0105086728601e-02, -5.1925708676808e-01, -1.5361760540000e-01, -4.1476837298833e+00, -8.6305907878519e-02, -3.5610857587779e+00,  1.4422853680000e+00,  9.0120400000000e-01,               500000
  2.0159546065072e+00,  1.1345407425181e+00,  1.1333490848435e+00, -1.7203281357951e-01,  3.2589513301964e-01,  8.0733528725015e-04,  1.9840492562257e-03, -3.5979948259008e-01,  1.4133005029435e-01, -2.1326805927774e+00,  7.5391634431687e-02, -2.8999722199145e+00,  1.4225776710000e+00,  9.0479400000000e-01,               500000
  2.0202292192092e+00,  1.1360382860999e+00,  1.1340463151143e+00, -1.6811219408781e-01,  3.4976185710053e-01,  8.3637534289400e-04,  7.6188701574977e-03, -3.6698201475332e-01,  1.7034120397519e-01, -2.5034307798247e+00,  1.1577310733830e-01, -2.9999111004524e+00,  1.4379741550000e+00,  9.0655600000000e-01,               500000
  2.0229420636597e+00,  1.1357194899636e+00,  1.1337011167382e+00, -1.7380280901150e-01,  3.1883848542348e-01,  7.9854678688663e-04,  2.8936857124557e-03, -3.3781883895882e-01,  1.8147507386593e-01, -2.3087474709635e+00,  9.6605114331443e-02, -2.5850770120659e+00,  1.4576723170000e+00,  9.0733000000000e-01,               500000
  2.0249694250611e+00,  1.1336521133522e+00,  1.1325765950855e+00, -1.7624845521191e-01,  3.2638628669990e-01,  8.0794342215269e-04,  1.6836733020592e-02, -3.3953411208964e-01,  1.1468980827042e-01, -2.1842774319805e+00,  5.8564342188093e-02, -2.8594993590757e+00,  1.4783193390000e+00,  9.0476000000000e-01,               500000
  2.0242351695643e+00,  1.1306658341732e+00,  1.1310744488895e+00, -1.6524797441482e-01,  3.6034125385604e-01,  8.4893021368783e-04, -5.8774883337753e-04, -3.8474408114424e-01, -1.2548857215980e-01, -2.6155521723997e+00, -1.1253006528755e-01, -3.0496891960555e+00,  1.4013731050000e+00,  8.9993400000000e-01,               500000
  2.0236931660732e+00,  1.1292298541298e+00,  1.1306968903647e+00, -1.7606431584618e-01,  3.6302338885315e-01,  8.5208378561400e-04, -1.4623607384069e-03, -4.1005389145937e-01, -1.1776019410675e-01, -2.4083188844140e+00, -1.3087148217011e-01, -3.1626803583345e+00,  1.3982795350000e+00,  9.0285600000000e-01,               500000
  2.0234613889399e+00,  1.1291149545414e+00,  1.1314920411326e+00, -1.7286347935346e-01,  3.5447148413538e-01,  8.4198751075699e-04, -5.7160998707249e-03, -3.3816937714206e-01, -2.0922435508854e-01, -2.4089463092962e+00, -9.8546040284439e-02, -2.9166943039520e+00,  1.4435157800000e+00,  9.0301000000000e-01,               500000
  2.0241604575591e+00,  1.1310984454631e+00,  1.1330673417426e+00, -1.7283982534151e-01,  3.4751863775935e-01,  8.3368895609735e-04,  1.0119241290236e-02, -3.3813550744023e-01, -7.9114318499609e-02, -2.5352244441106e+00,  5.2217626395251e-02, -2.9825281825170e+00,  1.4588583720000e+00,  9.0764000000000e-01,               500000
  2.0232535080785e+00,  1.1336847875784e+00,  1.1340512522026e+00, -1.6622109688897e-01,  3.5303857712318e-01,  8.4028397238455e-04, -6.6649118490794e-03, -3.4376097635245e-01,  5.5104747075103e-02, -2.8894170786781e+00,  3.4493870693581e-02, -2.9389682529789e+00,  1.5037219470000e+00,  9.0198400000000e-01,               500000
  2.0234935230300e+00,  1.1354824392071e+00,  1.1346537933763e+00, -1.6775424124140e-01,  3.8286643101531e-01,  8.7506163327541e-04, -1.6914073088961e-02, -4.1667668732306e-01,  8.5531292483680e-02, -2.8740536258279e+00,  8.3004079418263e-02, -3.5827224271955e+00,  1.4328937290000e+00,  9.0091800000000e-01,               500000
  2.0263572027113e+00,  1.1362648359554e+00,  1.1344962383800e+00, -1.6920920539820e-01,  3.7957395498639e-01,  8.7129094450292e-04,  4.7032351580627e-03, -4.5429546385710e-01,  2.0485022105102e-01, -2.8002243778495e+00,  9.7971092913499e-02, -3.7454403053457e+00,  1.4314833840000e+00,  9.0323200000000e-01,               500000
  2.0282453393750e+00,  1.1349409421634e+00,  1.1335238258158e+00, -1.7064648387589e-01,  3.5836907180177e-01,  8.4660388825208e-04, -6.1241227265562e-05, -4.3013148476422e-01,  1.4124877307078e-01, -2.4954100214148e+00,  7.3945322163243e-02, -3.2697436155616e+00,  1.4138932770000e+00,  9.0239000000000e-01,               500000
  2.0299904328866e+00,  1.1323505410150e+00,  1.1320214087030e+00, -1.7866488841745e-01,  3.5321860274637e-01,  8.4049818886940e-04,  2.4451303003769e-03, -3.7391442648992e-01,  3.8829172892899e-02, -2.5692371615605e+00,  3.2170389656142e-02, -3.3268080640736e+00,  1.4684637280000e+00,  9.0396800000000e-01,               500000
  2.0312127157580e+00,  1.1296398989886e+00,  1.1304024720225e+00, -1.7203330369681e-01,  3.8239846904610e-01,  8.7452669375623e-04,  4.7354763776915e-03, -3.9757958497545e-01, -1.5703366163242e-01, -3.0822382785110e+00, -1.5182475559562e-01, -3.4362047154590e+00,  1.4585977430000e+00,  9.0239400000000e-01,               500000
  2.0316083752213e+00,  1.1287849915651e+00,  1.1302764227326e+00, -1.7136096875764e-01,  3.7252646888366e-01,  8.6316449056210e-04, -5.3586932517936e-04, -4.4766199216567e-01, -1.5236437571210e-01, -2.2571299419681e+00, -1.7582697459038e-01, -3.9039281629142e+00,  1.4493626510000e+00,  9.0311200000000e-01,               500000
  2.0320835160414e+00,  1.1295526687826e+00,  1.1317076181705e+00, -1.7222041154714e-01,  3.6419400943442e-01,  8.5345651258212e-04, -2.4191963825622e-03, -4.4468592490958e-01, -1.5374422975061e-01, -3.1691306992769e+00, -1.3136562388843e-02, -2.8596005562296e+00,  1.4056616350000e+00,  9.0782400000000e-01,               500000
  2.0329243660389e+00,  1.1318022054600e+00,  1.1331246526624e+00, -1.6942073985105e-01,  3.7160593325916e-01,  8.6209736487147e-04,  1.7466844022956e-03, -4.4859214351695e-01, -2.7388593245782e-02, -2.8734422170596e+00,  9.9241327164810e-02, -3.9275414169997e+00,  1.4583467760000e+00,  9.0602800000000e-01,               500000
  2.0334442539603e+00,  1.1341197543047e+00,  1.1335539319517e+00, -1.7285945436433e-01,  3.3129422695670e-01,  8.1399536479847e-04,  1.0706467649031e-02, -3.8142032828170e-01,  1.3742021072454e-01, -2.2108551955051e+00,  8.9743087202450e-02, -3.0823447276540e+00,  1.4307913110000e+00,  9.0007600000000e-01,               500000
  2.0322660761950e+00,  1.1348369089583e+00,  1.1331708536228e+00, -1.7420604899300e-01,  3.4162963220481e-01,  8.2659498208592e-04,  1.5535648652117e-02, -3.4843082539608e-01,  2.0194294446770e-01, -3.3223977794898e+00,  9.0257178597267e-02, -2.8611431149579e+00,  1.4404503520000e+00,  9.0438600000000e-01,               500000
  2.0288000403882e+00,  1.1334670459123e+00,  1.1320489093920e+00, -1.7747588421644e-01,  3.5475303770699e-01,  8.4232183600687e-04,  7.9074114246678e-03, -3.2915391014907e-01,  1.0459833303102e-01, -2.7502991132721e+00,  6.7546152741758e-02, -2.8891287869907e+00,  1.4522825060000e+00,  9.0770200000000e-01,               500000
  2.0244625573274e+00,  1.1311921571004e+00,  1.1304586847469e+00, -1.7003219189385e-01,  3.6366933526234e-01,  8.5284152720461e-04, -6.7353578602479e-03, -4.2846421951860e-01, -8.0038067783432e-02, -2.6097746095969e+00, -1.2129542804860e-01, -3.3284023617832e+00,  1.4623787570000e+00,  9.0496400000000e-01,               500000
  2.0216446861361e+00,  1.1299627144835e+00,  1.1301037962054e+00, -1.7465446215162e-01,  3.6047463605817e-01,  8.4908731713314e-04, -4.1854875685483e-03, -4.2254827336360e-01, -8.9273681405469e-02, -2.5794498857989e+00, -1.0324757128560e-01, -3.0384630957206e+00,  1.4451859650000e+00,  9.0094200000000e-01,               500000
  2.0197960898127e+00,  1.1297700152374e+00,  1.1307039867449e+00, -1.7550256668284e-01,  3.9362802691737e-01,  8.8727450872588e-04, -1.6539238633794e-02, -4.8926678974733e-01, -1.2125299004286e-01, -2.7004567196608e+00, -1.3454381691892e-01, -3.9135113179898e+00,  1.4267841530000e+00,  9.0464400000000e-01,               500000
