#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 1.276967901235e+01, 1.112451851852e+00, 1.065661728395e+00, 5.251579187455e-02, 2.634919448292e-02, 5.133146645374e-05, 1.260246354700e+01, 9.069608000000e-01,           10000000
 1.246926748971e+01, 1.134056790123e+00, 1.058048559671e+00, 5.534908728908e-02, 1.826214278850e-02, 4.273422842230e-05, 1.279889526400e+01, 9.029534000000e-01,           10000000
 1.247166803841e+01, 1.108027983539e+00, 1.035792043896e+00, 5.606783247132e-02, 3.256513045969e-02, 5.706586585665e-05, 1.274382950900e+01, 9.065208000000e-01,           10000000
 1.321640969364e+01, 1.125757750343e+00, 1.035734887974e+00, 5.385036173958e-02, 2.095489970017e-02, 4.577652203932e-05, 1.271429589800e+01, 9.014874000000e-01,           10000000
 1.316523609206e+01, 1.140149611340e+00, 1.070504740131e+00, 5.254690883668e-02, 2.652405706309e-02, 5.150151168955e-05, 1.240892029300e+01, 9.036712000000e-01,           10000000
 1.363161570899e+01, 1.118182685566e+00, 1.056552344663e+00, 5.031790857412e-02, 1.622811917005e-02, 4.028413976996e-05, 1.289981566400e+01, 9.040658000000e-01,           10000000
 1.421278981863e+01, 1.110245633288e+00, 1.055804237159e+00, 4.836831554643e-02, 1.957796614683e-02, 4.424699554413e-05, 1.235655653300e+01, 9.005335000000e-01,           10000000
 1.354872692171e+01, 1.116140313977e+00, 1.092245582482e+00, 4.991224813447e-02, 3.727503023015e-02, 6.105328019865e-05, 1.255899910400e+01, 9.050500000000e-01,           10000000
 1.385556107639e+01, 1.085742254738e+00, 1.071969625227e+00, 4.893347801840e-02, 7.327427259574e-02, 8.560039287044e-05, 1.268129243900e+01, 9.062620000000e-01,           10000000
 1.497503953214e+01, 1.095633616149e+00, 1.081017901517e+00, 4.576794972829e-02, 4.197004897826e-02, 6.478429514802e-05, 1.213884631000e+01, 9.001218000000e-01,           10000000
 1.607771979204e+01, 1.087224498298e+00, 1.088695988078e+00, 4.305488110984e-02, 6.170414416938e-02, 7.855198544237e-05, 1.202635677400e+01, 9.036896000000e-01,           10000000
 1.537059661185e+01, 1.123331375637e+00, 1.085860913253e+00, 4.526777019205e-02, 2.037413887258e-02, 4.513772133436e-05, 1.226712741000e+01, 9.074949000000e-01,           10000000
 1.689201055997e+01, 1.097727357505e+00, 1.061328509844e+00, 4.116205032898e-02, 2.670576217038e-02, 5.167761814401e-05, 1.223488739700e+01, 9.061409000000e-01,           10000000
 1.856365237910e+01, 1.088520879270e+00, 1.045869973525e+00, 3.856161938394e-02, 3.343293476269e-02, 5.782121994794e-05, 1.278972422500e+01, 9.032343000000e-01,           10000000
 1.912852270337e+01, 1.089138868849e+00, 1.091147012745e+00, 3.683886369569e-02, 3.982396981941e-02, 6.310623568192e-05, 1.235024765000e+01, 9.006814000000e-01,           10000000
 2.158638914574e+01, 1.078585486630e+00, 1.108818400537e+00, 3.433232556190e-02, 6.868859377014e-02, 8.287858213685e-05, 1.227526299100e+01, 9.108717000000e-01,           10000000
 2.211457759939e+01, 1.046222533828e+00, 1.076395328174e+00, 3.498577382699e-02, 1.876643139791e-01, 1.369906252190e-04, 1.213162227800e+01, 9.060750000000e-01,           10000000
 2.543202629078e+01, 1.054994768187e+00, 1.065359813413e+00, 3.068957581545e-02, 8.173576337902e-02, 9.040783338794e-05, 1.222755994100e+01, 9.069515000000e-01,           10000000
 3.010917954016e+01, 1.038879903131e+00, 1.053691726081e+00, 2.758031690676e-02, 1.166602199854e-01, 1.080093606987e-04, 1.211209181300e+01, 9.064837000000e-01,           10000000
 2.472490311060e+01, 1.091101645526e+00, 1.062524738588e+00, 3.010105401738e-02, 2.480307052104e-02, 4.980268117385e-05, 1.247835035200e+01, 9.079369000000e-01,           10000000
