#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  3.7147329452399e+00,  1.1220494865813e+00,  1.1222024535459e+00, -3.8231849540450e-03,  3.3232256408706e-02,  4.9030130871421e-05,  2.0187289938000e+01,  9.0092824074074e-01,             13824000
  3.7082433739355e+00,  1.1222354549423e+00,  1.1222756810528e+00, -3.4936760767048e-03,  3.2301682780637e-02,  4.8338782903866e-05,  2.0031985489000e+01,  9.0779021990741e-01,             13824000
  3.7102646233805e+00,  1.1224128872655e+00,  1.1222812617831e+00, -3.7214847487896e-03,  3.3761826503190e-02,  4.9419244785303e-05,  2.0660744095000e+01,  9.0351316550926e-01,             13824000
  3.7175877684633e+00,  1.1221389295736e+00,  1.1221665058182e+00, -3.9756732942527e-03,  3.3330780906769e-02,  4.9102757506687e-05,  2.0291584125000e+01,  9.0822019675926e-01,             13824000
  3.7052466097223e+00,  1.1223854337269e+00,  1.1223416186798e+00, -3.9565351085496e-03,  3.2322150635532e-02,  4.8354095333864e-05,  2.0006016404000e+01,  9.1194487847222e-01,             13824000
  3.7145910042501e+00,  1.1222889083582e+00,  1.1222324434452e+00, -3.7038490934488e-03,  3.2833867314983e-02,  4.8735357572938e-05,  1.9483427038000e+01,  9.0384743923611e-01,             13824000
  3.7135094090327e+00,  1.1223199030850e+00,  1.1222446480297e+00, -3.9164918982616e-03,  3.3135416566014e-02,  4.8958641079126e-05,  2.0348684486000e+01,  9.0143127893519e-01,             13824000
  3.7113462185979e+00,  1.1223818925387e+00,  1.1222690571987e+00, -3.5536502034714e-03,  3.3772006383154e-02,  4.9426694679389e-05,  1.9870113630000e+01,  9.1376837384259e-01,             13824000
  3.7129686114240e+00,  1.1223354004484e+00,  1.1222507503220e+00, -3.6025931855195e-03,  3.4649574124029e-02,  5.0064754165645e-05,  1.9675984667000e+01,  8.9980027488426e-01,             13824000
  3.7129686114240e+00,  1.1223354004484e+00,  1.1222507503220e+00, -3.6113090508807e-03,  3.2913584063997e-02,  4.4543065537744e-05,  2.4855946765000e+01,  9.0655315634645e-01,             16588800
  3.7129686114240e+00,  1.1223354004484e+00,  1.1222507503220e+00, -3.6992225195061e-03,  3.3496503645743e-02,  4.1020564288220e-05,  2.9043535405000e+01,  9.0874299728331e-01,             19906560
  3.7129686114240e+00,  1.1223354004484e+00,  1.1222507503220e+00, -3.7491695814851e-03,  3.3119395207074e-02,  3.7235095077976e-05,  3.5106490476000e+01,  9.0367572297775e-01,             23887872
  3.7139792361465e+00,  1.1224241166100e+00,  1.1222535406871e+00, -3.7633921335858e-03,  3.2770902403899e-02,  3.7038677266231e-05,  3.5624305865000e+01,  9.0634619944380e-01,             23887872
  3.7160184158618e+00,  1.1223336298543e+00,  1.1222144695814e+00, -3.9853088304627e-03,  3.3286636708077e-02,  3.7328988875990e-05,  3.3516125242000e+01,  9.0801771710766e-01,             23887872
  3.7098478364913e+00,  1.1224568819310e+00,  1.1223020260122e+00, -3.8198853965854e-03,  3.3011302140112e-02,  3.7174282599514e-05,  3.4660283420000e+01,  9.1015947339303e-01,             23887872
  3.7128976409291e+00,  1.1224551113369e+00,  1.1222657452716e+00, -3.5366610891264e-03,  3.4125979775432e-02,  3.7796695588086e-05,  3.3330824650000e+01,  9.0455558368699e-01,             23887872
  3.7137088373422e+00,  1.1224318652918e+00,  1.1222565918333e+00, -3.7056888801003e-03,  3.3351789800000e-02,  3.7365503681018e-05,  3.4682350479000e+01,  9.0569704157825e-01,             23887872
  3.7142141497034e+00,  1.1224762233726e+00,  1.1222579870158e+00, -3.7976663357849e-03,  3.2971527653851e-02,  3.7151880671334e-05,  3.4498546012000e+01,  9.1253109527713e-01,             23887872
  3.7152337395611e+00,  1.1224309799947e+00,  1.1222384514630e+00, -3.6391551990237e-03,  3.3202640387493e-02,  3.7281860680192e-05,  3.5449690847000e+01,  9.0600058473187e-01,             23887872
  3.7121484498758e+00,  1.1224926060330e+00,  1.1222822296784e+00, -3.8533305955189e-03,  3.2225588498710e-02,  3.6729219270141e-05,  3.4469767574000e+01,  9.0213787146884e-01,             23887872
  3.7119740356653e+00,  1.1225671263657e+00,  1.1222966485629e+00, -3.6675307457885e-03,  3.3101363602817e-02,  3.7224957514994e-05,  3.6645564776000e+01,  9.0410347141847e-01,             23887872
