#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.6561728325271e+00,  1.2172524828438e+00,  1.2195683005548e+00,  2.2634459403402e-01,  2.8169033918361e-01,  1.5321290719769e-04,  4.3957324658735e-01,  1.6211965504271e-01,  4.3846839933299e-01,  1.7098412987822e+00, -9.4433025496245e-03, -1.5606723323558e-01,  1.9264462807297e-01, -1.7965452450540e+00,  3.8115084899926e-01, -3.4703792855200e+00,  8.8081044100000e+00,  9.0028700000000e-01,             12000000
  2.6631229623743e+00,  1.2160172817975e+00,  1.2179257218326e+00,  2.2499455910536e-01,  2.9271185361988e-01,  1.5618147927435e-04,  4.3869255324731e-01,  1.6290988500618e-01,  4.3792480540841e-01,  1.7899506506218e+00, -8.4893640451056e-03, -1.7442979740531e-01,  1.9398254734288e-01, -1.9153582054761e+00,  3.8751579202900e-01, -3.7956728029028e+00,  8.9771231670000e+00,  9.0117250000000e-01,             12000000
  2.6699853372452e+00,  1.2146290167719e+00,  1.2161277191543e+00,  2.2392120991027e-01,  2.8805916077633e-01,  1.5493524474662e-04,  4.3677033320612e-01,  1.6238339002684e-01,  4.3670906557612e-01,  1.7880196730351e+00, -7.9456239188325e-03, -1.6002117206723e-01,  1.8812985175411e-01, -1.8569944311543e+00,  3.8524527360976e-01, -3.8441805991019e+00,  7.9611138910000e+00,  9.0656608333333e-01,             12000000
  2.6767341729121e+00,  1.2131062545173e+00,  1.2141919521159e+00,  2.2279804748783e-01,  2.8691428278109e-01,  1.5462704668036e-04,  4.3587571880415e-01,  1.6244126011513e-01,  4.3546497803765e-01,  1.8150662845853e+00, -7.5368160128514e-03, -1.5863861096975e-01,  1.9377595039930e-01, -2.6437008506927e+00,  3.7626780531750e-01, -3.4026013144314e+00,  8.1791437800000e+00,  9.0061766666667e-01,             12000000
  2.6833697454862e+00,  1.2115504270446e+00,  1.2121069381281e+00,  2.2095064800774e-01,  2.7843767731144e-01,  1.5232576858809e-04,  4.3468433932966e-01,  1.6413860538214e-01,  4.3607867718941e-01,  1.8286399593083e+00, -6.9429006059925e-03, -1.4093644862554e-01,  1.8594250921478e-01, -1.6187930386509e+00,  3.8805609674965e-01, -3.8884819747840e+00,  9.8885167720000e+00,  8.9410150000000e-01,             12000000
  2.6898600630722e+00,  1.2098422666800e+00,  1.2099022105161e+00,  2.2080341019888e-01,  2.6791832937172e-01,  1.4942063929606e-04,  4.3293094148003e-01,  1.6150720763693e-01,  4.3184461602618e-01,  1.8008662993274e+00, -6.4964108844382e-03, -1.3634945592192e-01,  1.8725858810115e-01, -2.0882481304970e+00,  3.6932319024610e-01, -3.2899901475225e+00,  9.3196419130000e+00,  9.1240016666667e-01,             12000000
  2.6962007610009e+00,  1.2080543546561e+00,  1.2075673168928e+00,  2.1958592480018e-01,  2.4764675409354e-01,  1.4365663753476e-04,  4.3140342440296e-01,  1.6105424537535e-01,  4.3062446278697e-01,  1.7392730354339e+00, -5.4321194594639e-03, -1.3739299997828e-01,  1.8451952758568e-01, -1.8424856447089e+00,  3.5890257581949e-01, -2.9995253720468e+00,  8.7329454450000e+00,  9.0376075000000e-01,             12000000
  2.7023763886881e+00,  1.2061642757342e+00,  1.2051038302612e+00,  2.1818708136823e-01,  2.3878387254518e-01,  1.4106259619556e-04,  4.2991243360454e-01,  1.6088897581529e-01,  4.2964253892133e-01,  1.7381432860385e+00, -5.3457123532600e-03, -1.2397283307221e-01,  1.7912067835626e-01, -1.6192651594209e+00,  3.5646275457246e-01, -3.0178102203241e+00,  9.4256750680000e+00,  8.9647183333333e-01,             12000000
  2.7083805341535e+00,  1.2041619166573e+00,  1.2025252546710e+00,  2.1663236479850e-01,  2.4356601051951e-01,  1.4246812816659e-04,  4.2899571876740e-01,  1.6184438414161e-01,  4.2903280206304e-01,  1.8208468087807e+00, -4.4368507375988e-03, -1.2420310009690e-01,  1.8226170719847e-01, -1.8559101666784e+00,  3.5517692847419e-01, -3.1406877792850e+00,  9.3591595990000e+00,  9.0714308333333e-01,             12000000
  2.7112913329794e+00,  1.2031207929629e+00,  1.2011880141510e+00,  2.1600237177112e-01,  2.2321242198890e-01,  1.3638561201880e-04,  4.2877816916825e-01,  1.6169192055518e-01,  4.2833495433180e-01,  1.7366946917597e+00, -3.8864831083111e-03, -1.2457742138999e-01,  1.7408318883872e-01, -1.3453341254633e+00,  3.5428075960093e-01, -2.8771124749697e+00,  1.0033194010000e+01,  9.0837525000000e-01,             12000000
