#              p[0],               p[1],               p[2],             energy,           variance,              error,           gradE[0],        gradVarE[0],           gradE[1],        gradVarE[1],           gradE[2],        gradVarE[2],       elapsed time,      accept. ratio,           MC steps
 5.689560967764e+00, 1.499407748349e+00, 2.008246884091e+00, 4.363754125925e-01, 1.469605786654e-01, 1.010227486295e-04, 2.753527949598e-03,-3.906698907337e-02, 7.759711591385e-02,-1.049955809761e+00, 4.803965219426e-02,-9.678506681583e-01, 1.192581240200e+01, 8.923598611111e-01,           14400000
 5.689578683159e+00, 1.499408519998e+00, 2.008245133349e+00, 4.360982999082e-01, 1.660099083932e-01, 1.073706936768e-04, 2.967486375180e-03,-4.401443056545e-02, 8.039693275338e-02,-1.464901707778e+00, 5.262502094453e-02,-1.123884373334e+00, 1.146237727100e+01, 9.063609027778e-01,           14400000
 5.689578860313e+00, 1.499408527715e+00, 2.008245115842e+00, 4.360268062353e-01, 1.526366061219e-01, 1.029551568112e-04, 2.623321703612e-03,-3.672039850575e-02, 7.643985468512e-02,-1.023844420945e+00, 5.338011029435e-02,-1.104217712354e+00, 1.137739561100e+01, 9.025615972222e-01,           14400000
 5.689578862084e+00, 1.499408527792e+00, 2.008245115667e+00, 4.360946988854e-01, 1.554848474316e-01, 1.039113027991e-04, 2.585633978814e-03,-3.285937255558e-02, 7.808385988950e-02,-1.183923884747e+00, 5.112487814377e-02,-1.064530210559e+00, 1.227844157000e+01, 9.068985416667e-01,           14400000
 5.689578862102e+00, 1.499408527793e+00, 2.008245115665e+00, 4.362828051748e-01, 1.541960005253e-01, 1.034797351757e-04, 2.711898638502e-03,-3.598119717364e-02, 7.568361288290e-02,-1.101262416490e+00, 5.334035832712e-02,-1.095490896042e+00, 1.121889967000e+01, 9.071269444444e-01,           14400000
 5.688665979800e+00, 1.466960775240e+00, 2.007724365506e+00, 4.334922530208e-01, 1.572506071586e-01, 1.044996701080e-04, 3.131471240356e-03,-3.593402582439e-02, 7.901493337535e-02,-1.119537513762e+00, 5.477353752907e-02,-1.157578673076e+00, 1.059763682500e+01, 9.001093750000e-01,           14400000
 5.678942352150e+00, 1.373844689811e+00, 2.042184399746e+00, 4.269717540186e-01, 1.589769919242e-01, 1.050717320863e-04, 4.476835115271e-03,-3.723943645109e-02, 9.434107326317e-02,-1.421263578111e+00, 5.184337454349e-02,-1.018990515710e+00, 1.339142471000e+01, 9.133829166667e-01,           14400000
 5.677969989385e+00, 1.364533081268e+00, 2.045630403170e+00, 4.266039420850e-01, 1.672642105671e-01, 1.077755546414e-04, 4.449014755750e-03,-4.366820854953e-02, 9.275163134134e-02,-1.326325756169e+00, 5.234223258559e-02,-1.501816758125e+00, 1.095418830000e+01, 9.066239583333e-01,           14400000
 5.645882018138e+00, 1.057249999352e+00, 2.159348516164e+00, 4.141132378995e-01, 1.977027308155e-01, 1.171723359272e-04, 7.036967764971e-03,-4.752341837689e-02,-9.216451587950e-02,-2.220770624565e+00, 5.067825396304e-02,-8.863931114360e-01, 1.047921095300e+01, 9.049179166667e-01,           14400000
 5.680981859815e+00, 1.423627945519e+00, 2.027672665943e+00, 4.308018474673e-01, 1.575333680446e-01, 1.045935811860e-04, 3.805273839421e-03,-4.011481013812e-02, 8.659902937583e-02,-1.195425914777e+00, 5.303133857918e-02,-1.089661945437e+00, 1.074493787400e+01, 9.001472222222e-01,           14400000
