#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 4.317500000000e+00, 1.930148635077e-03, 3.870560119401e-06, 9.642438155843e-04, 2.735721424325e-06, 9.659048194926e-04, 2.738076683803e-06, 4.521381818182e-01, 9.066804406667e-04, 2.258745454545e-01, 6.408439683227e-04, 2.262636363636e-01, 6.413956889098e-04
 4.372500000000e+00, 1.706425940906e-03, 3.593558873213e-06, 8.527929648666e-04, 2.540404342755e-06, 8.536329760399e-04, 2.541655198991e-06, 4.099800000000e-01, 8.633760373199e-04, 2.048890909091e-01, 6.103487690122e-04, 2.050909090909e-01, 6.106492954090e-04
 4.427500000000e+00, 1.546355982259e-03, 3.378369132533e-06, 7.764550760236e-04, 2.393924931480e-06, 7.699009062358e-04, 2.383799785656e-06, 3.809272727273e-01, 8.322229516916e-04, 1.912709090909e-01, 5.897162786088e-04, 1.896563636364e-01, 5.872220636745e-04
 4.482500000000e+00, 1.371840871397e-03, 3.142986890421e-06, 6.853587724541e-04, 2.221517244118e-06, 6.864820989424e-04, 2.223337070137e-06, 3.463854545455e-01, 7.935941881952e-04, 1.730509090909e-01, 5.609260348111e-04, 1.733345454545e-01, 5.613855350900e-04
 4.537500000000e+00, 1.230762338907e-03, 2.940908589250e-06, 6.172082689633e-04, 2.082621245487e-06, 6.135540699441e-04, 2.076446984194e-06, 3.184363636364e-01, 7.609042033079e-04, 1.596909090909e-01, 5.388386655002e-04, 1.587454545455e-01, 5.372411927371e-04
 4.592500000000e+00, 1.086966524717e-03, 2.730675209381e-06, 5.476610005320e-04, 1.938286052393e-06, 5.393055241855e-04, 1.923443338969e-06, 2.880909090909e-01, 7.237414268180e-04, 1.451527272727e-01, 5.137256559554e-04, 1.429381818182e-01, 5.097917254191e-04
 4.647500000000e+00, 9.692260968304e-04, 2.548028844819e-06, 4.784402951118e-04, 1.790216952194e-06, 4.907858017186e-04, 1.813166914022e-06, 2.630745454545e-01, 6.916049127731e-04, 1.298618181818e-01, 4.859139807561e-04, 1.332127272727e-01, 4.921432298403e-04
 4.702500000000e+00, 8.764629095415e-04, 2.394689526498e-06, 4.400241870989e-04, 1.696761175531e-06, 4.364387224426e-04, 1.689834146161e-06, 2.435600000000e-01, 6.654595131459e-04, 1.222781818182e-01, 4.715124250135e-04, 1.212818181818e-01, 4.695874750185e-04
 4.757500000000e+00, 7.770748483711e-04, 2.228763229108e-06, 3.979534526455e-04, 1.594955778298e-06, 3.791213957256e-04, 1.556759967592e-06, 2.210218181818e-01, 6.339225908892e-04, 1.131890909091e-01, 4.536500271216e-04, 1.078327272727e-01, 4.427860703909e-04
 4.812500000000e+00, 6.724671315891e-04, 2.049633205085e-06, 3.441674335170e-04, 1.466309012321e-06, 3.282996980721e-04, 1.432108290519e-06, 1.957163636364e-01, 5.965299103015e-04, 1.001672727273e-01, 4.267579103539e-04, 9.554909090909e-02, 4.168040544845e-04
 4.867500000000e+00, 6.189385219288e-04, 1.944147491870e-06, 3.148767976053e-04, 1.386678501876e-06, 3.040617243235e-04, 1.362656303907e-06, 1.842781818182e-01, 5.788361077796e-04, 9.374909090909e-02, 4.128594101652e-04, 9.052909090909e-02, 4.057072184562e-04
 4.922500000000e+00, 5.338008754418e-04, 1.785317163738e-06, 2.624937949987e-04, 1.251945029478e-06, 2.713070804431e-04, 1.272788677786e-06, 1.625418181818e-01, 5.436272422464e-04, 7.992909090909e-02, 3.812159753141e-04, 8.261272727273e-02, 3.875628448106e-04
 4.977500000000e+00, 4.766647574402e-04, 1.668425299603e-06, 2.406887516741e-04, 1.185572569138e-06, 2.359760057660e-04, 1.173908285882e-06, 1.484054545455e-01, 5.194498042868e-04, 7.493636363636e-02, 3.691177777950e-04, 7.346909090909e-02, 3.654862039657e-04
 5.032500000000e+00, 4.266897412524e-04, 1.561291081855e-06, 2.162670118070e-04, 1.111534426158e-06, 2.104227294454e-04, 1.096412815387e-06, 1.357981818182e-01, 4.968961512469e-04, 6.882909090909e-02, 3.537566983859e-04, 6.696909090909e-02, 3.489440979170e-04
 5.087500000000e+00, 3.772601475796e-04, 1.452204075608e-06, 1.905195049462e-04, 1.031993372622e-06, 1.867406426334e-04, 1.021707568768e-06, 1.227054545455e-01, 4.723355019965e-04, 6.196727272727e-02, 3.356601981097e-04, 6.073818181818e-02, 3.323146970136e-04
 5.142500000000e+00, 3.260064755911e-04, 1.335520215816e-06, 1.637445719362e-04, 9.465004158164e-07, 1.622619036548e-04, 9.422055029099e-07, 1.083400000000e-01, 4.438263378641e-04, 5.441636363636e-02, 3.145454545455e-04, 5.392363636364e-02, 3.131181489576e-04
 5.197500000000e+00, 2.915282939086e-04, 1.249561265984e-06, 1.449848600266e-04, 8.812081917693e-07, 1.465434338820e-04, 8.859319839620e-07, 9.896545454546e-02, 4.241900400559e-04, 4.921818181818e-02, 2.991447865262e-04, 4.974727272727e-02, 3.007483778458e-04
