#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error,      radial prob. A,      prob. error A,      radial prob. B,      prob. error B
 4.427500000000e+00,  6.577197951940e-04,  2.203295854952e-06,  3.296570263550e-04,  1.559852485835e-06,  3.280627688390e-04,  1.556076105750e-06,  1.620218181818e-01,  5.427569658392e-04,  8.120727272727e-02,  3.842519834391e-04,  8.081454545455e-02,  3.833217149994e-04
 4.482500000000e+00,  6.019661823199e-04,  2.081980931797e-06,  2.990352718325e-04,  1.467411469796e-06,  3.029309104874e-04,  1.476938786367e-06,  1.519945454545e-01,  5.256935599836e-04,  7.550545454545e-02,  3.705167265160e-04,  7.648909090909e-02,  3.729223436322e-04
 4.537500000000e+00,  5.444194354221e-04,  1.955965710226e-06,  2.722378269343e-04,  1.383148026025e-06,  2.721816084878e-04,  1.383005205226e-06,  1.408581818182e-01,  5.060689529342e-04,  7.043636363636e-02,  3.578632639745e-04,  7.042181818182e-02,  3.578263118071e-04
 4.592500000000e+00,  4.956485032748e-04,  1.843948818631e-06,  2.479408715864e-04,  1.304175461878e-06,  2.477076316884e-04,  1.303561893569e-06,  1.313672727273e-01,  4.887224025731e-04,  6.571454545455e-02,  3.456602258513e-04,  6.565272727273e-02,  3.454976049719e-04
 4.647500000000e+00,  4.513578842535e-04,  1.738810712073e-06,  2.254411420809e-04,  1.228876893966e-06,  2.259167421726e-04,  1.230172456160e-06,  1.225109090909e-01,  4.719609172781e-04,  6.119090909091e-02,  3.335508931889e-04,  6.132000000000e-02,  3.339025443013e-04
 4.702500000000e+00,  4.145399082006e-04,  1.646893885426e-06,  2.069362703458e-04,  1.163592068816e-06,  2.076036378548e-04,  1.165466845191e-06,  1.151963636364e-01,  4.576548195794e-04,  5.750545454545e-02,  3.233502310202e-04,  5.769090909091e-02,  3.238712120326e-04
 4.757500000000e+00,  3.705747358132e-04,  1.539112664139e-06,  1.867991742411e-04,  1.092747908322e-06,  1.837755615720e-04,  1.083867981708e-06,  1.054018181818e-01,  4.377666837729e-04,  5.313090909091e-02,  3.108080643944e-04,  5.227090909091e-02,  3.082823649334e-04
 4.812500000000e+00,  3.423307743750e-04,  1.462391279013e-06,  1.697597807012e-04,  1.029812170275e-06,  1.725709936738e-04,  1.038303976148e-06,  9.963272727273e-02,  4.256176843402e-04,  4.940727272727e-02,  2.997188765471e-04,  5.022545454545e-02,  3.021903510446e-04
 4.867500000000e+00,  3.116035738453e-04,  1.379452236648e-06,  1.560826979170e-04,  9.762989771734e-07,  1.555208759283e-04,  9.745402918109e-07,  9.277454545454e-02,  4.107079153553e-04,  4.647090909091e-02,  2.906760430161e-04,  4.630363636364e-02,  2.901524250322e-04
 4.922500000000e+00,  2.812369542194e-04,  1.295871481422e-06,  1.407617825641e-04,  9.167863075619e-07,  1.404751716553e-04,  9.158524786386e-07,  8.563636363636e-02,  3.945915348038e-04,  4.286181818182e-02,  2.791604888096e-04,  4.277454545455e-02,  2.788761388618e-04
