#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  3.4000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4673541723706e-01,  8.5784660317110e-01,  3.9182840314852e-04
  3.4000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3785394200017e-01,  2.9206362444069e-01,  2.2434097146424e-04
  3.4000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3340683968086e-01,  7.1515663193644e-02,  1.1437500902318e-04
  3.4000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3228886858825e-01,  6.6899405305333e-03,  3.9691438293263e-05
  3.4000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3300748246248e-01,  4.2353976269139e-03,  3.3708128842653e-05
  3.4000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3486441686336e-01,  2.0692405279669e-02,  6.1965225284024e-05
  3.4000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3744470845689e-01,  3.9078429166656e-02,  8.5680351111070e-05
  3.5000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.3695232054277e-01,  1.8711648264760e+01,  1.7726072226320e-03
  3.5000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.8935882327320e-01,  6.9660861258338e+00,  1.0720291055462e-03
  3.5000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6243984934166e-01,  2.8010197486270e+00,  7.1325467168141e-04
  3.5000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4589985909654e-01,  8.5030878214808e-01,  3.7457688766476e-04
  3.5000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3771948163885e-01,  2.9623302889549e-01,  2.2641561015592e-04
  3.5000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3359001044838e-01,  6.7863228113233e-02,  1.0938927432532e-04
  3.5000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3224601041237e-01,  6.1897891784473e-03,  3.7620458355858e-05
  3.5000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3304696156962e-01,  4.0773932167994e-03,  3.2479743924519e-05
