#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike
  1.8300000000000e+00,  5.8219716440867e-02,  3.9204716250645e-05,  2.9056780700580e-02,  2.7696635773655e-05,  2.9162935740287e-02,  2.7747182615810e-05,  3.1313994302893e-02,  2.8752294367281e-05,  4.7018234539033e-02,  3.5231929723278e-05,  2.4503100000000e+00,  1.6500202018965e-03,  1.2229211111111e+00,  1.1656762992220e-03,  1.2273888888889e+00,  1.1678036787486e-03,  1.3179211111111e+00,  1.2101061069689e-03,  1.9788700000000e+00,  1.4828163893228e-03
  1.8900000000000e+00,  5.5186321613503e-02,  3.6958088127419e-05,  2.7447540043293e-02,  2.6064265243657e-05,  2.7738781570210e-02,  2.6202182262979e-05,  3.0487668942007e-02,  2.7469824378103e-05,  4.5695565391672e-02,  3.3630304573981e-05,  2.4774300000000e+00,  1.6591262760863e-03,  1.2321777777778e+00,  1.1700796638490e-03,  1.2452522222222e+00,  1.1762710488008e-03,  1.3686555555556e+00,  1.2331781684176e-03,  2.0513700000000e+00,  1.5097350760978e-03
  1.9500000000000e+00,  5.2010345655766e-02,  3.4774984147125e-05,  2.6076611937465e-02,  2.4623379165635e-05,  2.5933733718301e-02,  2.4555828654276e-05,  2.9690721722698e-02,  2.6274378258542e-05,  4.4462353237755e-02,  3.2152762531239e-05,  2.4854388888889e+00,  1.6618058747736e-03,  1.2461333333333e+00,  1.1766871260418e-03,  1.2393055555556e+00,  1.1734590631290e-03,  1.4188422222222e+00,  1.2555840704727e-03,  2.1247400000000e+00,  1.5364967368082e-03
  2.0100000000000e+00,  4.9023469858764e-02,  3.2753948032378e-05,  2.4532229132954e-02,  2.3170218977176e-05,  2.4491240725809e-02,  2.3150854503828e-05,  2.8761957014097e-02,  2.5088277716751e-05,  4.3071703665696e-02,  3.0701363041714e-05,  2.4890766666667e+00,  1.6630215695356e-03,  1.2455788888889e+00,  1.1764253241111e-03,  1.2434977777778e+00,  1.1754421285333e-03,  1.4603355555556e+00,  1.2738112347316e-03,  2.1868866666667e+00,  1.5588053355291e-03
  2.0700000000000e+00,  4.6197616311309e-02,  3.0874366052162e-05,  2.3051422927063e-02,  2.1809069404256e-05,  2.3146193384246e-02,  2.1853854828000e-05,  2.7831275031991e-02,  2.3963752013769e-05,  4.1799260174782e-02,  2.9367877683732e-05,  2.4877144444444e+00,  1.6625664379187e-03,  1.2413055555556e+00,  1.1744055496555e-03,  1.2464088888889e+00,  1.1768172183615e-03,  1.4986977777778e+00,  1.2904339398382e-03,  2.2508655555556e+00,  1.5814429260631e-03
  2.1300000000000e+00,  4.3389100522057e-02,  2.9078377819743e-05,  2.1668251663300e-02,  2.0549051807127e-05,  2.1720848858757e-02,  2.0573976923671e-05,  2.7109498765699e-02,  2.2984792927723e-05,  4.0552613085868e-02,  2.8111840080359e-05,  2.4738788888889e+00,  1.6579367662814e-03,  1.2354400000000e+00,  1.1716275479482e-03,  1.2384388888889e+00,  1.1730486818016e-03,  1.5456788888889e+00,  1.3105040967713e-03,  2.3121533333333e+00,  1.6028285183572e-03
  2.1900000000000e+00,  4.0577254654706e-02,  2.7350007286753e-05,  2.0247020577550e-02,  1.9319535401448e-05,  2.0330234077156e-02,  1.9359195501301e-05,  2.6162829382380e-02,  2.1961321542321e-05,  3.9334637825302e-02,  2.6927974910498e-05,  2.4457266666667e+00,  1.6484762885993e-03,  1.2203555555556e+00,  1.1644529261778e-03,  1.2253711111111e+00,  1.1668433728612e-03,  1.5769211111111e+00,  1.3236822004927e-03,  2.3708300000000e+00,  1.6230389876881e-03
  2.2500000000000e+00,  3.7881749021452e-02,  2.5721331030762e-05,  1.8947598354042e-02,  1.8190955547950e-05,  1.8934150667410e-02,  1.8184499065043e-05,  2.5226934500795e-02,  2.0989914394474e-05,  3.7942298540350e-02,  2.5741879083856e-05,  2.4100755555556e+00,  1.6364173454211e-03,  1.2054655555556e+00,  1.1573271675890e-03,  1.2046100000000e+00,  1.1569163995534e-03,  1.6049633333333e+00,  1.3353997875515e-03,  2.4139277777778e+00,  1.6377246335415e-03
  2.3100000000000e+00,  3.5433660492603e-02,  2.4230235509738e-05,  1.7742122996786e-02,  1.7145589370479e-05,  1.7691537495818e-02,  1.7121129577113e-05,  2.4462671077751e-02,  2.0132678738542e-05,  3.6737384553585e-02,  2.4671965136743e-05,  2.3761522222222e+00,  1.6248597280388e-03,  1.1897722222222e+00,  1.1497691663123e-03,  1.1863800000000e+00,  1.1481289126226e-03,  1.6404466666667e+00,  1.3500809303588e-03,  2.4635788888889e+00,  1.6544817546722e-03
  2.3700000000000e+00,  3.3021829934113e-02,  2.2798928568314e-05,  1.6507318186484e-02,  1.6119520948389e-05,  1.6514511747629e-02,  1.6123032849235e-05,  2.3594219440035e-02,  1.9271551362517e-05,  3.5296191559266e-02,  2.3570988369066e-05,  2.3309388888889e+00,  1.6093265979177e-03,  1.1652155555556e+00,  1.1378417950740e-03,  1.1657233333333e+00,  1.1380896924883e-03,  1.6654644444444e+00,  1.3603367411721e-03,  2.4914811111111e+00,  1.6638246138578e-03
  2.4300000000000e+00,  3.0734625032700e-02,  2.1452132327352e-05,  1.5391329440108e-02,  1.5180797066185e-05,  1.5343295592592e-02,  1.5157090150340e-05,  2.2788467091939e-02,  1.8472006128763e-05,  3.4178313506573e-02,  2.2622042933391e-05,  2.2807222222222e+00,  1.5918969195489e-03,  1.1421433333333e+00,  1.1265203718301e-03,  1.1385788888889e+00,  1.1247611543439e-03,  1.6910622222222e+00,  1.3707508981180e-03,  2.5362677777778e+00,  1.6787123960470e-03
  2.4900000000000e+00,  2.8501798937132e-02,  2.0160444140266e-05,  1.4222571431087e-02,  1.4241411037701e-05,  1.4279227506045e-02,  1.4269748406614e-05,  2.1943056120253e-02,  1.7689376127385e-05,  3.2944958567406e-02,  2.1674966869509e-05,  2.2207611111111e+00,  1.5708317369085e-03,  1.1081733333333e+00,  1.1096412500010e-03,  1.1125877777778e+00,  1.1118491992961e-03,  1.7097266666667e+00,  1.3782947058943e-03,  2.5669566666667e+00,  1.6888380840312e-03
